"Celso portiolli";8;True;False;1;0;1;1
32;248;106;3;18;3;0
33;165;126;2;12;3;1
34;113;126;4;9;6;1
35;144;56;7;12;7;0
36;146;76;6;12;8;1
37;197;56;7;12;8;1
38;117;56;7;12;8;1
39;185;126;2;9;3;1
40;210;106;4;14;5;1
41;222;106;4;14;5;0
42;107;126;4;9;5;0
43;28;106;6;11;7;1
44;63;126;3;14;3;0
45;234;106;5;11;5;0
46;177;126;2;12;3;1
47;73;37;9;14;8;-1
48;126;56;7;12;7;0
49;97;126;3;13;7;2
50;26;76;6;12;7;1
51;11;90;5;14;7;1
52;153;56;7;12;7;0
53;97;90;5;14;7;1
54;66;76;6;12;7;1
55;215;56;6;14;7;1
56;190;106;5;12;7;1
57;171;56;6;14;7;0
58;169;126;2;12;3;1
59;46;126;3;15;4;0
60;101;56;7;13;7;0
61;16;126;5;10;7;1
62;238;56;6;13;7;1
63;43;106;5;12;5;0
64;203;37;9;12;10;0
65;220;2;12;14;12;0
66;81;20;11;14;12;1
67;107;20;11;14;12;1
68;68;20;11;14;12;0
69;16;20;11;15;12;0
70;128;37;9;14;9;0
71;94;20;11;14;12;1
72;38;37;10;14;12;1
73;143;126;2;14;4;1
74;172;37;8;14;8;0
75;14;37;10;14;11;1
76;84;37;9;14;9;0
77;146;20;11;14;12;1
78;117;37;9;14;11;1
79;122;2;12;14;14;1
80;162;37;8;15;8;0
81;22;2;14;15;13;1
82;182;37;8;14;9;1
83;159;20;11;14;12;0
84;172;20;11;14;11;0
85;50;37;10;14;12;1
86;106;37;9;14;9;0
87;2;20;12;14;13;0
88;139;37;9;14;9;0
89;233;20;10;14;10;0
90;209;20;10;14;10;0
91;78;126;3;14;5;1
92;95;37;9;14;7;0
93;68;126;3;14;5;1
94;83;126;6;7;7;1
95;232;37;7;15;7;0
96;206;126;2;7;5;1
97;64;106;5;12;6;0
98;162;76;6;12;8;1
99;71;106;5;12;6;1
100;106;76;6;12;8;1
101;50;76;6;12;7;1
102;99;106;5;12;5;0
103;214;37;7;15;7;0
104;106;106;5;12;7;1
105;173;126;2;12;4;1
106;110;56;5;18;4;-2
107;138;76;6;12;7;1
108;161;126;2;12;4;1
109;46;56;8;12;10;1
110;134;106;5;12;7;1
111;18;76;6;12;8;1
112;241;37;6;17;8;1
113;231;56;5;16;7;1
114;40;126;4;12;5;1
115;183;106;5;12;6;1
116;141;106;5;12;5;0
117;92;106;5;12;7;1
118;120;106;5;12;5;0
119;188;56;7;12;8;0
120;74;76;6;12;6;0
121;28;56;6;16;7;0
122;85;106;5;12;5;0
123;216;106;4;14;5;1
124;157;126;2;14;8;3
125;204;106;4;14;6;1
126;88;90;7;10;8;1
127;61;90;7;10;8;1
128;11;106;7;10;8;1
129;237;90;7;10;8;1
130;214;76;7;10;8;1
131;178;76;7;10;8;1
132;70;90;7;10;8;1
133;241;76;7;10;8;1
134;2;90;7;10;8;1
135;18;90;7;10;8;1
136;201;90;7;10;8;1
137;223;76;7;10;8;1
138;165;90;7;10;8;1
139;104;90;7;10;8;1
140;205;76;7;10;8;1
141;45;90;7;10;8;1
142;210;90;7;10;8;1
143;187;76;7;10;8;1
144;156;90;7;10;8;1
145;192;90;7;10;8;1
146;174;90;7;10;8;1
147;138;90;7;10;8;1
148;27;90;7;10;8;1
149;129;90;7;10;8;1
150;120;90;7;10;8;1
151;228;90;7;10;8;1
152;79;90;7;10;8;1
153;147;90;7;10;8;1
154;219;90;7;10;8;1
155;36;90;7;10;8;1
156;2;106;7;10;8;1
157;183;90;7;10;8;1
158;232;76;7;10;8;1
159;196;76;7;10;8;1
160;210;126;0;0;0;0
161;153;126;2;14;3;1
162;169;106;5;12;7;1
163;64;56;8;12;7;0
164;20;106;6;11;7;1
165;162;56;7;12;8;0
166;135;126;2;14;7;3
167;223;56;6;14;7;1
168;147;126;4;7;6;1
169;206;56;7;12;9;1
170;51;126;4;11;5;0
171;197;106;5;12;6;0
172;135;56;7;12;7;0
173;2;126;5;10;5;0
174;179;56;7;12;9;1
175;197;126;7;2;7;0
176;124;126;4;8;6;1
177;57;106;5;12;7;1
178;91;126;4;10;5;1
179;130;126;3;10;5;1
180;193;126;2;8;5;3
181;223;37;7;15;7;0
182;19;56;7;14;7;0
183;181;126;2;10;3;1
184;35;126;3;16;5;2
185;189;126;2;9;5;1
186;57;126;4;11;4;0
187;114;76;6;12;6;0
188;36;56;8;12;10;2
189;82;56;8;12;10;2
190;192;37;9;12;10;1
191;54;90;5;14;5;0
192;136;2;12;14;12;0
193;178;2;12;14;12;0
194;94;2;12;14;12;0
195;192;2;12;14;12;0
196;164;2;12;14;12;0
197;150;2;12;14;12;0
198;2;2;18;14;18;0
199;53;2;11;16;12;1
200;42;20;11;15;12;0
201;55;20;11;15;12;0
202;29;20;11;15;12;0
203;133;20;11;14;12;1
204;73;126;3;14;4;0
205;139;126;2;14;4;1
206;113;90;5;14;4;-1
207;228;106;4;14;4;0
208;120;20;11;14;12;0
209;62;37;9;14;11;1
210;80;2;12;14;13;1
211;66;2;12;14;13;1
212;206;2;12;14;13;1
213;234;2;12;14;13;1
214;108;2;12;14;13;1
215;9;126;5;10;7;1
216;38;2;13;14;13;0
217;185;20;10;14;12;1
218;221;20;10;14;12;1
219;26;37;10;14;12;1
220;2;37;10;14;12;1
221;197;20;10;14;10;0
222;10;56;7;14;8;1
223;36;106;5;12;6;1
224;176;106;5;12;7;0
225;127;106;5;12;7;0
226;98;76;6;12;7;0
227;10;76;6;12;7;0
228;78;106;5;12;7;0
229;42;76;6;12;7;0
230;150;37;10;12;10;0
231;246;90;5;14;6;1
232;90;76;6;12;7;1
233;34;76;6;12;7;1
234;82;76;6;12;7;1
235;154;76;6;12;7;1
236;119;126;3;12;3;0
237;102;126;3;12;3;1
238;23;126;4;12;3;0
239;29;126;4;12;3;0
240;170;76;6;12;7;1
241;148;106;5;12;7;1
242;58;76;6;12;7;1
243;2;76;6;12;7;1
244;246;56;6;12;7;1
